date,MI actual,MI noPolicy,MI drug new five,MI drug new fifteen,MI drug new twentyFive,MI drug new fifty,MI property new five,MI property new fifteen,MI property new twentyFive,MI property new fifty,MI violent new five,MI violent new fifteen,MI violent new twentyFive,MI violent new fifty,MI nonviolent new five,MI nonviolent new fifteen,MI nonviolent new twentyFive,MI nonviolent new fifty,MI all new five,MI all new fifteen,MI all new twentyFive,MI all new fifty,MI revocation new five,MI revocation new fifteen,MI revocation new twentyFive,MI revocation new fifty,MI drug length five,MI drug length fifteen,MI drug length twentyFive,MI drug length fifty,MI property length five,MI property length fifteen,MI property length twentyFive,MI property length fifty,MI violent length five,MI violent length fifteen,MI violent length twentyFive,MI violent length fifty,MI nonviolent length five,MI nonviolent length fifteen,MI nonviolent length twentyFive,MI nonviolent length fifty,MI all length five,MI all length fifteen,MI all length twentyFive,MI all length fifty,MI revocation length five,MI revocation length fifteen,MI revocation length twentyFive,MI revocation length fifty
Jun-00,47411.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,48464.9962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,50528.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,49817.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,50128.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,51128.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,49201.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,49954.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,49582.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,49439.9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,51278.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,50013.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,51107.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,52022.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,50833.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,50682.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,47419.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,49007.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,44732.9978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,45640.9957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,43646.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,44331.9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,43811.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,43143.9962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,43262.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,43262.0039,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262,43262
Jun-13,,42692,42690,42685,42680,42668,42687,42676,42665,42637,42686,42673,42660,42627,42681,42658,42635,42578,42674,42639,42603,42513,42686,42675,42663,42633,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616,42692.36616
Dec-13,,42176,42169,42156,42142,42108,42161,42130,42100,42025,42157,42119,42081,41987,42145,42082,42020,41864,42126,42025,41925,41674,42160,42128,42096,42015,42172.97445,42167.3124,42161.58655,42146.98563,42169.93139,42158.13208,42146.19981,42115.77253,42168.40591,42153.52999,42138.48646,42100.12544,42163.64151,42139.15671,42114.39602,42051.25627,42156.26553,42116.90481,42077.10059,41975.59982,42169.00223,42155.32897,42141.50165,42106.24197
Jun-14,,41711,41698,41674,41650,41588,41683,41627,41572,41433,41674,41601,41528,41345,41653,41539,41425,41138,41617,41429,41242,40773,41682,41623,41565,41420,41703.09929,41687.67768,41671.98727,41631.5327,41694.73149,41662.35604,41629.41374,41544.46679,41689.52675,41646.58151,41602.84986,41489.92061,41677.55784,41610.3896,41542.04612,41365.81532,41656.37292,41546.25944,41434.18431,41145.02426,41692.41043,41655.3374,41617.62191,41520.39735
Dec-14,,41295,41277,41240,41203,41110,41253,41167,41082,40869,41236,41118,41000,40705,41208,41032,40857,40419,41149,40855,40562,39829,41251,41163,41075,40855,41281.48276,41253.48663,41224.8632,41150.39545,41266.06911,41206.72369,41146.03218,40988.05669,41254.67134,41172.01597,41087.3012,40865.91189,41234.73151,41111.66429,40985.81044,40658.24508,41194.14995,40988.42736,40777.85873,40228.90407,41262.2906,41195.28841,41126.80387,40948.72242
Jun-15,,40927,40902,40851,40801,40674,40868,40750,40632,40337,40841,40670,40498,40070,40806,40564,40321,39716,40720,40306,39893,38858,40867,40747,40627,40328,40906.42056,40864.06114,40820.58908,40706.69053,40882.64507,40791.77404,40698.45849,40453.6845,40862.37437,40729.7645,40593.02989,40231.62393,40834.86929,40646.56637,40453.21446,39946.11885,40770.0453,40449.1325,40119.04597,39250.54441,40877.66718,40776.72671,40673.18851,40402.17629
Dec-15,,40604,40572,40507,40443,40281,40528,40374,40221,39838,40488,40255,40022,39440,40447,40134,39820,39036,40331,39785,39238,37873,40528,40375,40222,39840,40575.85714,40518.1458,40458.75512,40302.33919,40542.69099,40417.1242,40287.75385,39946.27935,40510.8345,40319.25079,40120.59496,39589.83902,40476.96363,40217.04951,39949.30592,39242.81531,40383.68944,39932.19162,39465.7922,38228.54564,40537.02322,40400.06294,40259.2306,39888.88832
Jun-16,,40323,40284,40205,40127,39930,40228,40039,39849,39374,40173,39872,39571,38818,40130,39742,39354,38386,39979,39290,38602,36880,40230,40044,39858,39393,40287.48292,40214.03731,40138.31427,39938.19005,40244.09719,40081.6831,39913.91204,39468.8645,40197.99426,39939.46638,39669.98002,38942.54093,40159.47225,39823.7856,39477.12375,38558.0367,40034.07808,39439.86354,38823.71533,37177.1892,40238.43346,40064.79558,39885.97337,39414.38445
Dec-16,,40082,40036,39944,39851,39620,39969,39741,39513,38944,39894,39518,39142,38202,39851,39387,38924,37766,39663,38823,37984,35886,39973,39754,39536,38989,40038.82598,39949.7081,39857.72876,39614.17149,39984.52873,39783.84487,39576.1158,39022.89246,39921.62,39589.0548,39240.66853,38290.90807,39880.47671,39466.47466,39038.12831,37898.37155,39719.73785,38973.17061,38196.43799,36106.92077,39979.68823,39769.72305,39553.32674,38981.90445
Jun-17,,39878,39825,39719,39613,39348,39745,39479,39213,38548,39650,39193,38736,37594,39608,39068,38528,37179,39380,38383,37386,34894,39753,39503,39252,38626,39827.33343,39722.918,39615.10688,39329.45883,39761.52568,39521.65621,39272.96481,38608.58239,39679.37606,39266.39754,38831.73094,37635.35187,39637.81719,39144.1102,38632.58201,37267.8647,39438.87057,38532.18507,37585.99027,35024.89389,39758.40288,39513.1363,39260.33238,38592.77457
