date,WA actual,WA noPolicy,WA drug new five,WA drug new fifteen,WA drug new twentyFive,WA drug new fifty,WA property new five,WA property new fifteen,WA property new twentyFive,WA property new fifty,WA violent new five,WA violent new fifteen,WA violent new twentyFive,WA violent new fifty,WA nonviolent new five,WA nonviolent new fifteen,WA nonviolent new twentyFive,WA nonviolent new fifty,WA all new five,WA all new fifteen,WA all new twentyFive,WA all new fifty,WA revocation new five,WA revocation new fifteen,WA revocation new twentyFive,WA revocation new fifty,WA drug length five,WA drug length fifteen,WA drug length twentyFive,WA drug length fifty,WA property length five,WA property length fifteen,WA property length twentyFive,WA property length fifty,WA violent length five,WA violent length fifteen,WA violent length twentyFive,WA violent length fifty,WA nonviolent length five,WA nonviolent length fifteen,WA nonviolent length twentyFive,WA nonviolent length fifty,WA all length five,WA all length fifteen,WA all length twentyFive,WA all length fifty,WA revocation length five,WA revocation length fifteen,WA revocation length twentyFive,WA revocation length fifty
Jun-00,14255.00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,14509.99949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,15601.00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,14854.00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,16011.99905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,15761.99988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,16485.99937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,15908.99979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,16558.99967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,16385.99974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,16613.00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,16598.00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,17063.99861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,16607.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,17230.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,16985.00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,17691.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,17499.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,17486.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,17494.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,17444.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,17252.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,17380.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,17283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,17371.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,17371.9999,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372
Jun-13,,17368,17366,17360,17355,17342,17365,17359,17353,17337,17365,17359,17353,17337,17360,17345,17330,17292,17357,17336,17315,17261,17367,17365,17363,17358,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801,17368.09801
Dec-13,,17366,17359,17346,17333,17300,17357,17341,17325,17283,17357,17339,17321,17277,17346,17305,17265,17165,17337,17279,17221,17076,17363,17358,17353,17340,17363.13707,17357.96073,17352.72606,17339.37766,17362.69007,17356.6122,17350.46586,17334.79267,17362.55394,17356.20153,17349.77755,17333.3964,17358.11648,17342.81457,17327.34025,17287.88072,17354.96674,17333.31243,17311.41412,17255.57344,17364.69779,17362.66912,17360.61758,17355.38618
Jun-14,,17356,17344,17321,17298,17240,17341,17311,17281,17207,17339,17305,17271,17186,17320,17248,17177,16998,17303,17197,17092,16828,17351,17342,17334,17312,17349.01774,17335.75926,17322.2845,17287.61137,17347.42945,17330.94512,17314.17708,17270.96077,17346.48678,17328.07759,17309.33033,17260.91433,17335.50602,17294.8792,17253.5653,17147.14339,17326.4251,17267.38909,17207.32792,17052.49002,17353.00195,17347.80927,17342.53315,17328.96261
Dec-14,,17337,17320,17286,17252,17167,17315,17270,17225,17113,17310,17256,17202,17067,17284,17176,17069,16801,17257,17095,16934,16531,17331,17318,17305,17273,17325.75927,17302.60945,17278.99628,17217.82628,17322.44012,17292.51272,17261.92934,17182.43214,17319.70804,17284.14781,17247.69642,17152.41167,17301.38237,17228.68961,17154.44825,16961.68047,17283.92507,17175.67208,17064.97934,16776.9268,17332.68639,17323.59868,17314.33292,17290.34797
Jun-15,,17312,17289,17243,17197,17082,17281,17220,17159,17006,17273,17195,17118,16924,17239,17093,16947,16583,17200,16977,16753,16195,17303,17286,17269,17226,17294.98377,17260.74763,17225.73214,17134.56892,17289.50723,17244.04254,17197.41472,17075.39919,17283.84598,17226.6112,17167.58145,17011.48726,17258.13924,17148.82605,17036.81399,16744.17187,17230.16616,17063.61819,16892.57638,16443.84008,17305.21482,17291.7914,17278.072,17242.39921
Dec-15,,17281,17252,17194,17135,16989,17242,17163,17085,16889,17229,17125,17021,16761,17188,17001,16815,16349,17136,16846,16555,15829,17270,17249,17227,17174,17258.34412,17212.18355,17164.87676,17041.24747,17250.43672,17188.01435,17123.81975,16954.96916,17240.6587,17157.75692,17071.76493,16841.87042,17207.9671,17058.95103,16905.87054,16504.03451,17167.61602,16935.69816,16696.62569,16064.89515,17272.1727,17254.19146,17235.78658,17187.79968
Jun-16,,17246,17210,17139,17068,16890,17198,17101,17005,16764,17180,17047,16914,16582,17132,16904,16675,16105,17065,16704,16343,15440,17233,17207,17182,17117,17217.19681,17158.48189,17098.21582,16940.26295,17206.70899,17126.37796,17043.59547,16825.00354,17191.65365,17079.58422,16962.71709,16647.02308,17152.59189,16961.77531,16765.3801,16247.98909,17098.25112,16795.36511,16482.10277,15649.01774,17234.89001,17212.28344,17189.12798,17128.68021
Dec-16,,17208,17165,17081,16996,16785,17150,17036,16921,16634,17126,16962,16798,16389,17072,16801,16530,15852,16990,16555,16120,15033,17193,17163,17133,17058,17172.58678,17100.8085,17027.0437,16833.26903,17159.46114,17060.58766,16958.53855,16688.28328,17138.04396,16993.76002,16842.55427,16430.0828,17093.30832,16859.24402,16617.98949,15980.69876,17023.59213,16645.2439,16252.78361,15203.02141,17194.40102,17167.20158,17139.33892,17066.59865
Jun-17,,17167,17118,17020,16921,16675,17100,16967,16834,16500,17069,16873,16676,16185,17010,16695,16380,15592,16911,16400,15889,14611,17150,17116,17081,16996,17125.30356,17040.02217,16952.29226,16721.39823,17109.54716,16991.70477,16869.93473,16546.74358,17080.7893,16901.66133,16713.08006,16193.89363,17031.07174,16752.73482,16465.53354,15705.32215,16944.79788,16487.33298,16011.55043,14732.15261,17151.48921,17119.7868,17087.32193,17002.6326
Dec-17,,17124,17068,16956,16843,16562,17048,16896,16744,16363,17009,16779,16549,15973,16945,16586,16226,15328,16830,16240,15651,14177,17105,17067,17029,16933,17075.94454,16976.75891,16874.63731,16605.4299,17057.60754,16920.50061,16778.69628,16401.69999,17020.65115,16804.43239,16575.84178,15941.05417,16966.58773,16643.22179,16309.27595,15423.95471,16862.75681,16323.17212,15760.63566,14240.52682,17106.7464,17070.65806,17033.72382,16937.49984
Jun-18,,17080,17017,16890,16763,16446,16995,16824,16652,16224,16948,16682,16417,15753,16878,16474,16070,15060,16746,16076,15407,13733,17059,17017,16974,16868,17024.96851,16911.49774,16794.57766,16485.90788,17004.12897,16847.54157,16685.47419,16254.03823,16958.24235,16703.03635,16432.18191,15673.96202,16900.38439,16531.39972,16150.08899,15137.96461,16778.16128,16153.97062,15501.80546,13731.46118,17060.62545,17020.27584,16979.01115,16871.67115
Dec-18,,17035,16964,16823,16681,16327,16940,16750,16559,16083,16885,16583,16282,15528,16811,16361,15912,14789,16660,15909,15158,13281,17012,16966,16919,16803,16972.73632,16844.60862,16712.49107,16363.21997,16949.4901,16773.25311,16590.74243,16104.35962,16894.06612,16598.29632,16283.27934,15394.8489,16832.86625,16417.77353,15988.58201,14848.23731,16691.56315,15980.70062,15236.49212,13207.71698,17013.48124,16968.99138,16923.529,16805.46057
Jun-19,,16989,16911,16754,16597,16205,16885,16675,16465,15940,16820,16482,16144,15298,16742,16247,15752,14515,16573,15740,14907,12824,16964,16914,16864,16738,16919.53982,16776.38575,16628.67226,16237.65034,16893.99425,16697.96505,16494.85724,15953.08374,16828.54466,16490.926,16130.18029,15105.80615,16764.35229,16302.72017,15825.18985,14555.34542,16603.41341,15804.16264,14965.8866,12671.66804,16965.60023,16917.08206,16867.543,16739.08925
Dec-19,,16943,16857,16684,16512,16081,16828,16599,16370,15797,16755,16380,16004,15066,16673,16132,15591,14238,16485,15569,14652,12361,16916,16862,16808,16673,16865.62173,16707.06997,16543.35817,16109.41315,16837.8918,16621.94203,16398.09668,15800.51585,16762.03915,16381.55176,15973.82085,14808.80187,16695.10169,16186.53002,15660.23173,14259.66136,16514.08946,15625.0304,14691.0012,12125.41184,16917.22066,16864.77509,16811.26705,16672.72575
Jun-20,,16896,16802,16614,16425,15954,16772,16523,16274,15652,16690,16277,15864,14831,16603,16015,15428,13960,16396,15396,14396,11895,16867,16810,16752,16607,16811.18868,16636.86342,16456.74428,15978.67373,16781.39488,16545.40331,16300.68598,15646.88837,16694.86355,16270.72821,15815.04315,14505.6916,16625.33088,16069.43383,15493.94919,13961.42891,16423.91343,15443.88103,14412.71134,11570.83951,16868.54586,16812.26275,16754.8806,16606.50883
Dec-20,,16849,16747,16542,16338,15826,16715,16447,16178,15507,16624,16173,15723,14596,16532,15898,15264,13679,16307,15222,14137,11425,16819,16757,16696,16542,16756.41986,16565.93907,16368.99509,15845.56179,16724.68693,16468.53523,16202.81317,15492.38526,16627.2939,16158.94931,15654.60698,14198.22426,16555.22453,15951.61996,15326.53025,13660.80759,16333.16444,15261.21528,14131.78324,11009.67786,16819.75281,16759.71181,16698.53889,16540.55884
Jun-21,,16802,16692,16470,16249,15696,16658,16370,16082,15361,16558,16070,15581,14360,16462,15781,15099,13396,16218,15048,13878,10954,16770,16705,16640,16477,16701.47261,16494.44684,16280.25088,15710.17949,16667.92886,16391.49915,16104.63878,15337.15643,16559.57476,16046.65648,15493.19856,13888.04488,16484.94274,15833.24545,15158.12452,13357.89988,16242.08681,15077.47124,13848.89239,10443.51408,16770.99763,16707.2693,16642.37886,16474.98325
Dec-21,,16756,16636,16398,16160,15564,16602,16293,15985,15215,16493,15966,15440,14124,16391,15662,14934,13112,16128,14873,13618,10480,16721,16653,16584,16412,16646.48621,16422.51777,16190.63214,15572.60661,16611.26319,16314.43647,16006.30188,15181.32644,16491.92384,15934.24473,15331.43726,13576.69517,16414.62577,15714.44307,14988.85292,13052.76821,16150.89585,14893.03403,13564.63641,9873.809621,16722.41928,16655.06613,16586.52269,16409.87908
